create database test;
use database test;
create table test(id int, num float, num2 float unique, name char(10));
insert into test values(70853,18849.3457775,-21220.8674918,ldrolci);
insert into test values(70854,62982.0741127,-25631.5442894,vx);
insert into test values(70855,212937.5077491,17199.4349515,gzjzen);
insert into test values(70856,131289.5817013,6088.8532899,i);
insert into test values(70857,154836.1707889,3771.3614591,svuc);
insert into test values(70858,94448.8045464,2846.4410213,dphvgqjv);
insert into test values(70859,162460.3361389,-12477.5491510,fsn);
insert into test values(70860,20041.2745362,-25171.8338422,qmsyib);
insert into test values(70861,42754.8319035,4344.5784141,a);
insert into test values(70862,207116.2911317,24086.5210191,ciljb);
insert into test values(70863,83016.4921078,-639.0559844,ncqucxtm);
insert into test values(70864,60405.3408233,-10797.0880777,xev);
insert into test values(70865,218525.8061822,14314.2036070,azbfdh);
insert into test values(70866,3026.0609555,-26739.4700636,kb);
insert into test values(70867,30419.0361096,-13655.2355166,vvtif);
insert into test values(70868,71572.3746781,-4127.0292262,xxybglvw);
insert into test values(70869,283436.7909366,31031.3147442,hre);
insert into test values(70870,-14013.5012534,-10738.7282200,strezwy);
insert into test values(70871,211347.1947977,9988.3206553,uo);
insert into test values(70872,178811.8279949,-11249.9475356,ficha);
insert into test values(70873,270876.8009931,14346.9186221,p);
insert into test values(70874,27128.4396597,-13247.2763029,zeus);
insert into test values(70875,-28351.4794426,-29922.6136441,cgaddca);
insert into test values(70876,94578.0228988,6569.7513431,ma);
insert into test values(70877,238487.6126833,19192.7398796,xdsoen);
insert into test values(70878,182349.3648237,12603.4071778,z);
insert into test values(70879,208093.1942890,22537.6323324,jzdr);
insert into test values(70880,23616.3827603,-7394.6255119,utijyqb);
insert into test values(70881,49209.1098425,-23952.4689377,wvw);
insert into test values(70882,45590.6173824,-23178.8976276,hpbnab);
insert into test values(70883,93822.6619012,10860.0201112,r);
insert into test values(70884,-2326.8592590,-23538.1489747,tmly);
insert into test values(70885,59199.8273138,700.8893750,egzicxll);
insert into test values(70886,272244.6078892,17876.3975883,oie);
insert into test values(70887,244075.9560293,16307.5143228,rcjuvh);
insert into test values(70888,-31652.4515969,-36248.3019212,bf);
insert into test values(70889,35745.7158592,-16003.0135553,lzcxx);
insert into test values(70890,47757.7201424,-2785.7913899,obhpylmv);
insert into test values(70891,170189.2048049,19556.7263339,yvn);
insert into test values(70892,263849.6957950,20706.5671134,jxaszwq);
insert into test values(70893,176663.5291400,482.4822359,lr);
insert into test values(70894,250435.5656498,28111.6580705,vmlea);
insert into test values(70895,36323.7527001,-6272.4644573,goqotrwn);
insert into test values(70896,80371.9901102,5518.1259824,iidh);
insert into test values(70897,249533.0892493,1524.9623794,tkjzvcs);
insert into test values(70898,59894.0171912,-2936.0771330,de);
insert into test values(70899,73742.6638956,-9629.7456199,ggtcw);
insert into test values(70900,233409.2412603,19117.9819212,q);
insert into test values(70901,195052.3686085,-404.5024263,admg);
insert into test values(70902,-23532.9059284,-16089.9720367,dxryyqt);
insert into test values(70903,201928.1284545,-7913.2578310,nz);
insert into test values(70904,71140.3226192,-21185.7158070,ytkbst);
insert into test values(70905,144899.5253626,17377.6901779,a);
insert into test values(70906,50923.8990776,-4767.1183101,kqum);
insert into test values(70907,35385.4916550,2042.2106034,vkixuwdk);
insert into test values(70908,158992.0827205,6401.2018945,xmn);
insert into test values(70909,269626.1014162,18300.8253956,igsivh);
insert into test values(70910,-9940.5567906,-26078.1899612,s);
insert into test values(70911,41072.3961898,-18350.7788157,ucllx);
insert into test values(70912,23950.9665341,-1444.4623310,ffqeqleu);
insert into test values(70913,-9356.9646370,-33627.5290730,pzw);
insert into test values(70914,143550.2329834,17703.1162178,sbbhrw);
insert into test values(70915,141980.1354181,-9023.3180612,cv);
insert into test values(70916,255759.7444486,25764.6423209,mpust);
insert into test values(70917,12507.5948799,-4931.9807358,przdtrom);
insert into test values(70918,213675.3048349,8202.2207294,zmm);
insert into test values(70919,202325.2415224,-7176.7584643,korovck);
insert into test values(70920,25201.6438991,-12442.7703966,mi);
insert into test values(70921,79069.4024166,-11977.4765481,wkcro);
insert into test values(70922,284461.2801017,25632.6160290,h);
insert into test values(70923,248307.0562829,18362.5085060,jhvu);
insert into test values(70924,254301.5663411,15351.4885488,ubanqql);
insert into test values(70925,233528.0431310,24288.5739304,ed);
insert into test values(70926,96690.1960901,-19192.4715775,gxtqst);
insert into test values(70927,195995.1221082,23896.6703843,r);
insert into test values(70928,37889.4549814,-27708.4006018,btdb);
insert into test values(70929,239985.4704153,-3830.0529522,eojmmwv);
insert into test values(70930,45741.9962062,-5072.5400687,oqw);
insert into test values(70931,-29840.9437864,-19845.8548854,zkbxoh);
insert into test values(70932,41115.5649436,-19562.8177303,b);
insert into test values(70933,218848.8445951,8075.9477834,lgma);
insert into test values(70934,137.7125614,-30.9236993,wiztqlwt);
insert into test values(70935,202478.2879373,-4953.2922694,yde);
insert into test values(70936,168581.1199200,19632.2924110,jfkwro);
insert into test values(70937,107287.0286336,-18530.3089735,tz);
insert into test values(70938,261085.0433411,23416.7419366,dtchl);
insert into test values(70939,313796.3772922,36558.6942457,gvirlrgd);
insert into test values(70940,100423.0332703,-3272.9170301,qpn);
insert into test values(70941,221430.2626751,25832.8103836,bsadncb);
insert into test values(70942,-9478.3604484,-21949.6177679,dm);
insert into test values(70943,84396.1336584,-14325.2072220,nolgo);
insert into test values(70944,302354.7539798,33071.0109725,yiqypfiv);
insert into test values(70945,301827.4984050,37162.3439668,akej);
insert into test values(70946,207103.3217980,6650.9533094,lejbiid);
insert into test values(70947,198841.6356228,14782.3950730,vh);
insert into test values(70948,299093.8273663,29791.6108964,xbunk);
insert into test values(70949,247238.5000135,30433.9089808,i);
insert into test values(70950,91142.1785855,-8941.7754437,sxmq);
insert into test values(70951,259075.0427270,29177.6091579,vrsimwn);
insert into test values(70952,15783.8647783,-30343.9553592,fu);
insert into test values(70953,-4361.7334406,-17863.2579641,pokloh);
insert into test values(70954,92164.2846345,-13049.7435634,s);
insert into test values(70955,272105.2807187,26843.1767015,ckvp);
insert into test values(70956,235121.2238498,-323.4415410,nmihilos);
insert into test values(70957,89226.5001044,-16428.3603805,pgn);
insert into test values(70958,194125.1874077,21624.8489403,zjtkjn);
insert into test values(70959,3638.8639980,-14790.3844035,k);
insert into test values(70960,266411.0860596,21068.9334467,mflvl);
insert into test values(70961,223677.0431591,-3811.4396802,xzrglryc);
insert into test values(70962,-12821.3861597,-14748.0173553,htw);
insert into test values(70963,1216.3323464,-20739.2377357,kvbrfc);
insert into test values(70964,-44133.5626950,-31451.1217955,uq);
insert into test values(70965,89722.8586414,-16672.9377212,esuug);
insert into test values(70966,212244.8228678,-7296.9374781,hmznhfau);
insert into test values(70967,143919.4357031,-14626.1684250,ron);
insert into test values(70968,159895.3736492,-2050.7750311,cisqjiv);
insert into test values(70969,164157.5129358,5276.5015470,ek);
insert into test values(70970,304419.3686575,27443.7406609,ofcbk);
insert into test values(70971,231761.0761236,-4790.5221685,z);
insert into test values(70972,144396.5285072,9825.1643067,bbve);
insert into test values(70973,211871.6074549,20476.4325014,mvaxewf);
insert into test values(70974,47378.0783427,1856.7565257,wx);
insert into test values(70975,21186.0140458,-15867.4744735,yrtagh);
insert into test values(70976,143223.4447454,-6535.2839707,j);
insert into test values(70977,259067.0217287,3901.3575659,toed);
insert into test values(70978,197543.6857338,1293.4315921,wqjwicg);
insert into test values(70979,-24006.4567854,-27900.6711853,gkw);
insert into test values(70980,219673.2771625,23617.9040340,qmczbn);
insert into test values(70981,54697.9850568,-8277.4332411,t);
insert into test values(70982,114936.3571507,-462.6491049,djuk);
insert into test values(70983,199862.3844359,-2470.2667054,odavdrqb);
insert into test values(70984,199012.6205719,13926.8006710,qxf);
insert into test values(70985,26764.8455954,-18753.9721622,azkgfc);
insert into test values(70986,246233.5972865,-811.9023410,lt);
insert into test values(70987,95049.5783380,-19020.6680847,nwdjy);
insert into test values(70988,188428.1398723,-5957.0368728,yqiczxst);
insert into test values(70989,30668.6306713,-26100.9212637,isn);
insert into test values(70990,112697.5825793,-10751.2370361,kmbfbin);
insert into test values(70991,129464.0603849,-4230.5385186,vo);
insert into test values(70992,-15346.7469218,-15053.6330664,filqc);
insert into test values(70993,176986.0167123,-9443.7566521,ilradlbd);
insert into test values(70994,131360.4510801,-13116.3803829,sfet);
insert into test values(70995,164662.0949283,11774.5102364,dzjmewx);
insert into test values(70996,12695.7181137,-7648.3533635,fb);
insert into test values(70997,133049.0046655,-12645.9569812,pvupy);
insert into test values(70998,194284.8233970,-19.5070573,a);
insert into test values(70999,-12763.9828545,-17480.5255547,ksns);
insert into test values(71000,150345.7826111,-7407.0545519,nuskacy);
insert into test values(71001,187825.0402696,772.4534966,xof);
insert into test values(71002,245222.3854584,25611.0861657,hqlwbn);
insert into test values(71003,105757.0799067,-1763.0312929,k);
insert into test values(71004,168195.6879726,18304.9187015,umvz);
insert into test values(71005,176045.7040063,-1130.3649695,fhirwria);
insert into test values(71006,85759.9151883,2451.6229127,hbo);
insert into test values(71007,52314.3248412,-16760.9219476,rdtuxc);
insert into test values(71008,17219.8551221,-3507.2833851,c);
insert into test values(71009,166736.0189095,20349.6750927,ezmyy);
insert into test values(71010,164613.4791428,-4615.8617952,ptrqzxks);
insert into test values(71011,242506.2612968,2572.2062885,zww);
insert into test values(71012,250799.1235458,22724.4274128,bqctti);
insert into test values(71013,94780.8576602,-13736.3007901,ms);
insert into test values(71014,-10024.8280887,-17402.2960100,wmueu);
insert into test values(71015,153169.3368052,-8103.8528350,zoapvltc);
insert into test values(71016,140451.0572835,4252.5675560,jin);
insert into test values(71017,117463.5598052,3073.9545510,tdsawwp);
insert into test values(71018,-21969.6173328,-17153.1801324,wf);
insert into test values(71019,138375.7213687,-14993.6843616,gzddy);
insert into test values(71020,245344.2750940,6495.0165155,r);
insert into test values(71021,40483.6857385,1286.6599841,tvvo);
insert into test values(71022,103138.1851158,-16108.7233986,dybzscq);
insert into test values(71023,186338.7686773,19576.8023797,os);
insert into test values(71024,270771.9017126,27604.3195753,qutktn);
insert into test values(71025,156816.5464000,4751.4740315,b);
insert into test values(71026,155154.6425267,-4637.2414138,lqen);
insert into test values(71027,155111.9565549,6418.1628864,okjgwra);
insert into test values(71028,297604.8617528,31126.8788104,yfx);
insert into test values(71029,77864.1238190,-14767.7124972,ihcjpb);
insert into test values(71030,68278.9731904,3006.7754293,l);
insert into test values(71031,11027.5064494,-8998.9953479,vdvm);
insert into test values(71032,140796.7946667,-3275.9570520,gxafrxbr);
insert into test values(71033,129256.1924506,-8901.6530843,izf);
insert into test values(71034,276349.1454367,24717.7234298,suliti);
insert into test values(71035,60097.9681661,-23241.9917542,dw);
insert into test values(71036,-4699.6553542,-19751.3414695,fqdtu);
insert into test values(71037,129354.6795498,-6762.6729865,qsienldb);
insert into test values(71038,27201.4374722,-7220.9760622,amo);
insert into test values(71039,70255.7561941,-5627.7129906,cgbpowh);
insert into test values(71040,268411.2030193,13487.9516115,nj);
insert into test values(71041,210003.9503743,24368.4672717,xdmsq);
insert into test values(71042,117920.4960268,-10249.4311555,afrlrrnt);
insert into test values(71043,27449.3794621,-21654.5555472,kzed);
insert into test values(71044,55940.8980934,-24809.0675431,ubkosci);
insert into test values(71045,151641.9200094,10069.3388483,xv);
insert into test values(71046,33307.0935885,-13373.2679232,hyczl);
insert into test values(71047,207876.1527015,11266.0117465,s);
insert into test values(71048,208409.1323995,14129.7396162,uunc);
insert into test values(71049,107913.8735789,-2282.3331642,eosvoqs);
insert into test values(71050,184353.3179220,19651.7987894,pig);
insert into test values(71051,103414.0648505,-12774.4545100,rklypb);
insert into test values(71052,119339.1549340,9521.3372114,c);
insert into test values(71053,-2008.4527554,-31947.4410900,mhwb);
insert into test values(71054,116982.1328137,-1934.7753321,pbjtjxtq);
insert into test values(71055,16005.8084773,-20376.0630976,zdo);
insert into test values(71056,301899.1891381,26711.0227645,jxtfli);
insert into test values(71057,-35468.6433165,-33929.8466065,m);
insert into test values(71058,626.2914007,-22081.0662214,wumim);
insert into test values(71059,105537.9987692,-5422.7606171,hwranlva);
insert into test values(71060,239041.5576360,21452.4179841,jqx);
insert into test values(71061,109002.9302252,-15659.6195942,tkcdow);
insert into test values(71062,233727.5263422,3982.1080704,em);
insert into test values(71063,215321.8137663,22019.6482246,ohvhi);
insert into test values(71064,94103.8367384,-8909.5121149,rjazjrfk);
insert into test values(71065,80701.8990387,-2888.0417736,bdns);
insert into test values(71066,75027.2846122,8198.1587168,lftckca);
insert into test values(71067,116957.9479115,563.4728502,oz);
insert into test values(71068,38633.7861139,-15721.0367918,ybdnl);
insert into test values(71069,258935.8309571,17780.5645251,j);
insert into test values(71070,195372.9347686,-8811.8235896,lywr);
insert into test values(71071,60706.3846707,-10983.9469835,vsbjgqk);
insert into test values(71072,193.3657061,-2801.9350746,gm);
insert into test values(71073,128964.0797468,-10781.1748280,ioumht);
insert into test values(71074,170401.6037027,16037.2395245,t);
insert into test values(71075,51242.8300376,-13175.6655588,dlex);
insert into test values(71076,112683.2364406,11543.2762271,ffkijxl);
insert into test values(71077,227843.1953762,8296.7383011,qhx);
insert into test values(71078,2359.1920588,-11440.0892592,abctli);
insert into test values(71079,15584.3376836,-27414.1648439,d);
insert into test values(71080,232207.3458605,22610.4050610,nxvw);
insert into test values(71081,81723.3399554,-4081.5653691,xaapflnz);
insert into test values(71082,125788.7529185,9977.1992661,aug);
insert into test values(71083,134552.9365528,-13666.3392332,kolsgo);
insert into test values(71084,199044.0457788,-5523.7093239,vq);
insert into test values(71085,220646.7582500,19671.7037475,xkevi);
insert into test values(71086,70289.2146251,-7568.3039422,imjojrxj);
insert into test values(71087,-42529.8017208,-30046.9488595,sho);
insert into test values(71088,27823.7760006,-502.8094768,ujbrccs);
insert into test values(71089,82274.6642874,-8942.2916341,fd);
insert into test values(71090,43960.4760288,-18068.7959511,pfmce);
insert into test values(71091,58845.2461575,-11056.2503800,szrvefyb);
insert into test values(71092,248626.9930659,9955.1096468,ccff);
insert into test values(71093,13510.0378609,-19683.6813515,mwkygqu);
insert into test values(71094,290590.5034157,27788.0153668,pq);
insert into test values(71095,258647.8849136,26046.6482317,zsdbh);
insert into test values(71096,221462.1819645,22551.8994094,k);
insert into test values(71097,104496.4880413,5591.1297524,monm);
insert into test values(71098,65472.2394400,2841.2210896,wjtxbxd);
insert into test values(71099,114592.9537591,-3177.1351630,hlg);
insert into test values(71100,27907.4030875,-9450.8936085,jflidh);
insert into test values(71101,66642.3236522,-20900.3031918,u);
insert into test values(71102,219169.2587992,-331.3921292,ebwl);
insert into test values(71103,57906.6559976,-2741.6205103,gdjeflfy);
insert into test values(71104,12537.8942598,-1496.0756945,ryp);
insert into test values(71105,160102.9838623,-11673.0482509,bsuhyo);
insert into test values(71106,-21886.9397264,-22644.6651674,e);
insert into test values(71107,225972.7438052,17323.8878954,oomka);
insert into test values(71108,46472.6062431,-6228.3271661,yqscbrpi);
insert into test values(71109,169274.1521674,-1377.4013493,bkx);
insert into test values(71110,33496.2767043,-12336.1125041,lnkocc);
insert into test values(71111,47581.9532057,-18449.1678331,wh);
insert into test values(71112,49277.2434050,-20417.7737237,yjvrw);
insert into test values(71113,35030.8158218,-9714.9390008,idajwfqa);
insert into test values(71114,301882.9247707,28722.2781169,tfou);
insert into test values(71115,-33685.2158226,-28384.8932379,vztmyim);
insert into test values(71116,255905.5170818,18282.0092188,gu);
insert into test values(71117,263973.1974729,23698.7495528,qweqz);
insert into test values(71118,272522.8981643,29066.5813998,t);
insert into test values(71119,91460.9259146,-17350.3445309,dswb);
insert into test values(71120,18274.8616295,-5858.8216067,nmclbwv);
insert into test values(71121,139139.8556305,14863.8478228,qo);
insert into test values(71122,53457.0270658,-7457.8143089,ajuwvh);
insert into test values(71123,117691.3133959,-14387.1260453,l);
insert into test values(71124,272423.7622944,18435.5981332,vffa);
insert into test values(71125,3951.2614187,-25039.3085951,xhksxdx);
insert into test values(71126,224418.2185642,27181.8563346,ibx);
insert into test values(71127,185653.0572545,-9679.7507828,swdvzo);
insert into test values(71128,29164.5030603,-16130.3202072,v);
insert into test values(71129,231299.0742267,14976.1146834,fsvhs);
insert into test values(71130,22658.1681241,-4886.9061124,pubrtrhh);
insert into test values(71131,56022.4929997,-12852.3968325,sog);
insert into test values(71132,59045.9342663,-10342.9869761,cqlcuc);
insert into test values(71133,12899.8784338,-27954.2540300,nl);
insert into test values(71134,54603.9303272,-22765.5216853,pnefw);
insert into test values(71135,11214.9317362,-8374.3394799,zhjywfiz);
insert into test values(71136,279061.6733984,28976.9482814,kjp);
insert into test values(71137,244193.5836373,3061.9153126,mdcbqie);
insert into test values(71138,221221.5362532,8776.1287131,xx);
insert into test values(71139,269299.2418784,21350.9412877,hamer);
insert into test values(71140,-215.5802205,-11906.9068197,jusxsmsj);
insert into test values(71141,144714.4940103,1416.4988942,uwfp);
insert into test values(71142,296158.9108720,25587.7840407,eqkauwn);
insert into test values(71143,104452.0914064,5357.5178087,hs);
insert into test values(71144,92613.0050320,-16389.6641200,rmdlv);
insert into test values(71145,168750.5276370,-7872.6467954,b);
insert into test values(71146,588.5533137,-2929.0280692,ejoo);
insert into test values(71147,-43230.0812216,-33740.5275690,olthpdp);
insert into test values(71148,44838.2228028,-26005.2706775,zfg);
insert into test values(71149,277605.1610907,34035.8521994,bzmkro);
insert into test values(71150,80224.9810017,-9614.8544145,m);
insert into test values(71151,115256.9925276,-8869.9618779,wwwv);
insert into test values(71152,-1154.8939643,-3555.6644259,yykgtryg);
insert into test values(71153,267873.4404103,15823.5420040,jsp);
insert into test values(71154,84595.8481300,-8349.7517645,tuurmc);
insert into test values(71155,-8296.6041128,-11358.9911380,w);
insert into test values(71156,59930.6163594,-25113.2662377,gqnuo);
insert into test values(71157,312504.3481861,33116.3217828,qlsnoxay);
insert into test values(71158,165812.0112288,17503.1274783,tnx);
insert into test values(71159,283085.5317578,31136.2692794,dhlqqi);
insert into test values(71160,186528.0141690,-730.9278566,ob);
insert into test values(71161,274625.5721004,19003.1683499,qdvtr);
insert into test values(71162,301058.4607925,29628.1119063,ayblklki);
insert into test values(71163,197971.6363456,20183.8053833,laoe);
insert into test values(71164,248960.1892799,16887.1873254,nutxmwf);
insert into test values(71165,69758.5265658,-4149.5048352,yw);
insert into test values(71166,97939.7251760,-18737.3940548,iqean);
insert into test values(71167,219811.9030009,-1356.8657036,k);
insert into test values(71168,-12445.0704760,-25888.0709525,vnxd);
insert into test values(71169,234634.0085181,-2295.5995461,fpcvpdh);
insert into test values(71170,278096.7720418,32583.5490882,ij);
insert into test values(71171,303063.2710287,36017.7977508,sdvzjn);
insert into test values(71172,131284.1670334,-3100.4014184,c);
insert into test values(71173,168511.2005268,9896.9733906,fzfk);
insert into test values(71174,286608.5710250,20231.4091947,pcsulrq);
insert into test values(71175,154620.9741519,4348.3547643,awy);
insert into test values(71176,110145.8687491,-6356.4796385,cydgmc);
insert into test values(71177,42746.6937200,-4845.0126070,m);
